row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
question,Cloud Architecture & Design,,High Availability & Fault Tolerance,,A company needs their web application to survive the failure of an entire Availability Zone with minimal downtime. Which architecture achieves this? (Select TWO),multiple_select,Deploy EC2 instances in an Auto Scaling Group across multiple AZs behind an ALB,Deploy a single large EC2 instance in one AZ with frequent EBS snapshots,Use RDS Multi-AZ deployment for the database,Store all data on instance store volumes for maximum I/O,,,"a,c",Multi-AZ ASG with ALB (a) ensures web tier survives AZ failure — the ALB routes traffic to healthy instances in surviving AZs. RDS Multi-AZ (c) provides automatic database failover. A single instance (b) is a single point of failure. Instance store data (d) is lost when the instance stops.,3,high availability;Multi-AZ,,,,,,,,,,,,,
question,Cloud Architecture & Design,,High Availability & Fault Tolerance,,99.99% availability allows approximately how many minutes of downtime per year?,multiple_choice,5.26 minutes,52.6 minutes,525.6 minutes,8.76 hours,,,b,"365.25 days × 24 hours × 60 minutes = 525,960 minutes/year. 0.01% of that = 52.6 minutes. This is often called ""four nines"" availability.",2,high availability;SLA,,,,,,,,,,,,,
structure,Cloud Architecture & Design,,Disaster Recovery Strategies,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Cloud Architecture & Design,,Disaster Recovery Strategies,"## Disaster Recovery (DR) Strategies\n\nAWS defines four DR strategies, ordered by **cost** and **RTO/RPO:**\n\n- **RTO** (Recovery Time Objective): Maximum acceptable downtime\n- **RPO** (Recovery Point Objective): Maximum acceptable data loss\n\n### 1. Backup & Restore\n- Regularly back up data to S3/Glacier\n- Restore infrastructure from backups when disaster strikes\n- **RTO:** Hours | **RPO:** Hours | **Cost:** Lowest\n\n### 2. Pilot Light\n- Core infrastructure (database) kept running at minimum capacity in DR region\n- Other resources (web/app servers) provisioned only during failover\n- **RTO:** 10s of minutes | **RPO:** Minutes | **Cost:** Low\n\n### 3. Warm Standby\n- Scaled-down but fully functional copy of production in DR region\n- Scale up during failover\n- **RTO:** Minutes | **RPO:** Seconds | **Cost:** Medium\n\n### 4. Multi-Site Active/Active\n- Full production capacity in both regions simultaneously\n- Traffic split between regions; instant failover\n- **RTO:** Near-zero | **RPO:** Near-zero | **Cost:** Highest",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Cloud Architecture & Design,,Disaster Recovery Strategies,"The exam often asks: ""A company needs RTO of X and RPO of Y. Which DR strategy should they use?"" **Always pick the cheapest option that meets the requirements.** If RTO of hours is acceptable → Backup & Restore. If minutes → Warm Standby. If near-zero → Multi-Site.",,,,,,,,,,,,,,,,,,exam_note,DR Questions Pattern,,,,,,
question,Cloud Architecture & Design,,Disaster Recovery Strategies,,Order these DR strategies from LONGEST RTO (slowest recovery) to SHORTEST RTO (fastest recovery):,ordering,Multi-Site Active/Active,Backup & Restore,Warm Standby,Pilot Light,,,,"Backup & Restore has the longest RTO (hours — must rebuild everything). Pilot Light is faster (minutes — core is running, scale up the rest). Warm Standby is faster still (minutes — just scale up). Multi-Site Active/Active is near-instant (already fully running).",3,disaster recovery;RTO,,,"b,d,c,a",,,,,,,,,,
question,Cloud Architecture & Design,,Disaster Recovery Strategies,,Match each DR strategy to its description:,matching,,,,,,,,"Think of it as a spectrum from cold to hot: Backup & Restore is cold (nothing running), Pilot Light has minimal resources running, Warm Standby is a smaller version of production, and Multi-Site is a full hot standby.",2,disaster recovery,,,,Pilot Light|Warm Standby|Multi-Site|Backup & Restore,"Core DB running, other resources provisioned on demand|Scaled-down but fully functional copy in DR region|Full production in both regions with traffic splitting|Data backed up to S3, infrastructure rebuilt on demand",,,,,,,,
question,Cloud Architecture & Design,,Disaster Recovery Strategies,,A company requires an RTO of 1 hour and wants to minimize costs. Which DR strategy is most appropriate?,multiple_choice,Backup & Restore,Pilot Light,Warm Standby,Multi-Site Active/Active,,,b,Pilot Light meets the 1-hour RTO (recovery in tens of minutes) and is cheaper than Warm Standby or Multi-Site. Backup & Restore typically takes hours and might not meet a 1-hour RTO reliably.,3,disaster recovery;cost optimization,,,,,,,,,,,,,
structure,Cloud Architecture & Design,,Decoupling & Microservices,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Cloud Architecture & Design,,Decoupling & Microservices,"## Decoupling with AWS Messaging Services\n\nTightly coupled systems fail together. **Decoupling** means components communicate through intermediaries rather than directly, improving resilience and scalability.\n\n### Amazon SQS (Simple Queue Service)\n- Fully managed **message queue**\n- **Standard queues:** At-least-once delivery, best-effort ordering, nearly unlimited throughput\n- **FIFO queues:** Exactly-once processing, strict ordering, 3,000 msg/s (with batching)\n- Messages persist up to 14 days\n- **Visibility timeout:** prevents other consumers from processing a message while one consumer is working on it\n- **Dead-letter queue (DLQ):** captures messages that fail processing after max retries\n\n### Amazon SNS (Simple Notification Service)\n- **Pub/sub** messaging: one message published to a topic is delivered to all subscribers\n- Subscribers can be: SQS queues, Lambda functions, HTTP endpoints, email, SMS\n- Use case: fan-out pattern — one event triggers multiple downstream processes\n\n### Amazon EventBridge\n- **Event bus** for event-driven architectures\n- Rules route events to targets based on patterns\n- Integrates with 200+ AWS services and SaaS applications\n\n### Common Pattern: SNS + SQS Fan-Out\nPublish to SNS topic → multiple SQS queues subscribe → each queue feeds an independent processor. This decouples producers from consumers and allows independent scaling.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Cloud Architecture & Design,,Decoupling & Microservices,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph LR\n  P[""Producer""] --> SNS[""SNS Topic""]\n  SNS --> Q1[""SQS Queue 1<br>Order Processing""]\n  SNS --> Q2[""SQS Queue 2<br>Analytics""]\n  SNS --> Q3[""SQS Queue 3<br>Notifications""]\n  Q1 --> C1[""Consumer 1""]\n  Q2 --> C2[""Consumer 2""]\n  Q3 --> C3[""Consumer 3""]",
question,Cloud Architecture & Design,,Decoupling & Microservices,,"A company processes orders and needs to send each order to three separate microservices (billing, shipping, and analytics) simultaneously. Which architecture is most appropriate?",multiple_choice,"Three separate SQS queues, each polled by the order service directly",SNS topic with three SQS queue subscriptions (fan-out pattern),Single SQS FIFO queue with three consumers,Direct API calls from the order service to each microservice,,,b,"SNS fan-out to SQS queues is the ideal pattern: the order service publishes once to SNS, and all three SQS queues receive a copy. Each microservice processes independently from its own queue. This is fully decoupled and scales independently.",3,SQS;SNS;decoupling;fan-out,,,,,,,,,,,,,
question,Cloud Architecture & Design,,Decoupling & Microservices,,Which SQS queue type guarantees exactly-once message processing and strict message ordering?,fill_blank,,,,,,,,"SQS FIFO (First-In-First-Out) queues guarantee exactly-once processing and preserve the order messages are sent. Standard queues offer at-least-once delivery and best-effort ordering. FIFO queues have lower throughput (3,000 msg/s with batching vs. nearly unlimited for standard).",2,SQS;FIFO,FIFO|fifo|SQS FIFO|FIFO queue,contains,,,,,,,,,,,
structure,Compute & Networking,"EC2 instance types and pricing, Lambda serverless compute, VPC networking deep dive, and load balancing with Route 53.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Compute & Networking,,EC2 Instance Types & Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Compute & Networking,,EC2 Instance Types & Pricing,"## EC2 Instance Types\n\nEC2 instances are grouped into **families** optimized for different workloads:\n\n| Family | Prefix | Optimized For | Example Use Case |\n|--------|--------|--------------|------------------|\n| General Purpose | M, T | Balanced compute/memory/network | Web servers, small DBs |\n| Compute Optimized | C | High-performance processors | Batch processing, ML inference |\n| Memory Optimized | R, X, z | Large in-memory datasets | In-memory caches, real-time analytics |\n| Storage Optimized | I, D, H | High sequential read/write | Data warehousing, distributed file systems |\n| Accelerated Computing | P, G, Inf | GPU/custom hardware | ML training, video encoding |\n\n## Pricing Models\n\n- **On-Demand:** Pay per second, no commitment. Best for unpredictable or short-term workloads.\n- **Reserved Instances (RI):** 1 or 3-year commitment, up to 72% discount. Best for steady-state workloads.\n- **Savings Plans:** Commit to $/hour for 1 or 3 years, flexible across instance types. Similar discounts to RIs.\n- **Spot Instances:** Up to 90% discount, but AWS can reclaim with 2-minute notice. Best for fault-tolerant batch jobs.\n- **Dedicated Hosts:** Physical server dedicated to you. For licensing or compliance requirements.\n\n**T instances** use a CPU credit system: baseline performance with burst capability. When credits are exhausted, performance is throttled (T2) or charged extra (T3 Unlimited).",,,,,,,,,,,,,,,,,,,,,,,,,
question,Compute & Networking,,EC2 Instance Types & Pricing,,Match each EC2 instance family to its ideal use case:,matching,,,,,,,,C-family has the highest CPU-to-memory ratio for compute-heavy tasks. R-family provides large amounts of RAM. I-family provides high IOPS storage. T-family is cost-effective for variable workloads that don't need sustained high CPU.,2,EC2;instance types,,,,"C-family (Compute Optimized)|R-family (Memory Optimized)|I-family (Storage Optimized)|T-family (General Purpose, burstable)",Batch processing and scientific modeling|In-memory databases like Redis or Memcached|High-frequency OLTP and data warehousing|Development environments and small web servers,,,,,,,,
question,Compute & Networking,,EC2 Instance Types & Pricing,,A company runs a batch processing job nightly that can be interrupted and restarted without data loss. Which pricing model provides the highest savings?,multiple_choice,On-Demand Instances,Reserved Instances (1-year),Spot Instances,Dedicated Hosts,,,c,"Spot Instances offer up to 90% discount and are ideal for fault-tolerant, interruptible workloads like batch processing. The job can handle the 2-minute interruption notice because it can be restarted.",2,EC2;Spot Instances;pricing,,,,,,,,,,,,,
callout,Compute & Networking,,EC2 Instance Types & Pricing,"- ""Steady-state, predictable"" → **Reserved Instances** or **Savings Plans**\n- ""Can be interrupted, fault-tolerant"" → **Spot Instances**\n- ""Short-term, spiky, unpredictable"" → **On-Demand**\n- ""Licensing compliance, dedicated hardware"" → **Dedicated Hosts**\n- ""Lowest cost for compute"" → almost always **Spot**",,,,,,,,,,,,,,,,,,exam_note,Exam Tip: Pricing Keyword Matching,,,,,,
structure,Compute & Networking,,Lambda & Serverless,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Compute & Networking,,Lambda & Serverless,"## AWS Lambda & Serverless Architecture\n\n**AWS Lambda** runs code without provisioning servers. You pay only for compute time consumed — no charge when code isn't running.\n\n**Key characteristics:**\n- **Triggers:** API Gateway, S3 events, SQS, DynamoDB Streams, CloudWatch Events, SNS, Kinesis, and more\n- **Timeout:** Maximum 15 minutes per invocation\n- **Memory:** 128 MB to 10,240 MB (CPU scales proportionally)\n- **Concurrency:** Default 1,000 concurrent executions per region (can request increase)\n- **Deployment package:** 50 MB zipped, 250 MB unzipped (or use container images up to 10 GB)\n- **Pricing:** Per request ($0.20/million) + per GB-second of compute\n\n**When to use Lambda:**\n- Event-driven processing (S3 uploads, API requests, queue messages)\n- Short-duration tasks (< 15 minutes)\n- Variable/unpredictable traffic (scales to zero when idle)\n- Microservice backends behind API Gateway\n\n**When NOT to use Lambda:**\n- Long-running processes (> 15 min) → use ECS/Fargate or EC2\n- High-performance computing with GPU → use EC2 P/G instances\n- Workloads needing persistent local state → use EC2 or containers\n\n**Other serverless services:** API Gateway, DynamoDB, S3, Step Functions, EventBridge, Fargate (serverless containers).",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Compute & Networking,,Lambda & Serverless,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph LR\n  API[""API Gateway""] --> L1[""Lambda Function""]\n  S3[""S3 Bucket<br>Object Created""] --> L2[""Lambda Function""]\n  SQS[""SQS Queue""] --> L3[""Lambda Function""]\n  L1 --> DDB[""DynamoDB""]\n  L2 --> DDB\n  L3 --> SNS[""SNS Notification""]",
question,Compute & Networking,,Lambda & Serverless,,"A company needs to process images uploaded to S3, resize them, and store the results. The workload is unpredictable — sometimes 0 images per hour, sometimes 10,000. Which solution is most cost-effective?",multiple_choice,EC2 Auto Scaling Group polling S3 for new objects,Lambda triggered by S3 PutObject events,ECS Fargate service running continuously,EC2 Reserved Instance running an image processing daemon,,,b,"Lambda triggered by S3 events is ideal: it scales to zero when no images are uploaded (zero cost), scales up automatically for bursts, and image resizing is well within the 15-minute Lambda timeout. No servers to manage.",2,Lambda;serverless;S3,,,,,,,,,,,,,
question,Compute & Networking,,Lambda & Serverless,,The maximum execution timeout for a single AWS Lambda invocation is 15 minutes.,true_false,True,False,,,,,a,"True. AWS Lambda has a maximum timeout of 900 seconds (15 minutes). If your function needs to run longer, consider AWS Step Functions to orchestrate multiple Lambda invocations, or use ECS/Fargate for long-running tasks.",1,Lambda;limits,,,,,,,,,,,,,
callout,Compute & Networking,,Lambda & Serverless,"- **""Event-driven"" + ""cost-effective"" + ""variable traffic""** → Lambda\n- **""Process takes 30 minutes""** → NOT Lambda (15 min limit) → use ECS/Fargate or Step Functions\n- **""Scale to zero""** → Lambda or Fargate (Lambda is cheaper at low volume)\n- **""Synchronous API""** → API Gateway + Lambda\n- **""Asynchronous processing""** → SQS + Lambda",,,,,,,,,,,,,,,,,,exam_note,Lambda Exam Patterns,,,,,,
structure,Compute & Networking,,VPC Deep Dive,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Compute & Networking,,VPC Deep Dive,"## Amazon VPC (Virtual Private Cloud)\n\nA **VPC** is your isolated network environment in AWS. You control IP ranges, subnets, routing, and network gateways.\n\n### Key Components\n\n**Subnets:** Segments of a VPC's IP range, each in one AZ.\n- **Public subnet:** Has a route to an Internet Gateway (IGW) — instances can have public IPs\n- **Private subnet:** No direct internet route — instances are shielded from the internet\n\n**Route Tables:** Control where network traffic is directed. Each subnet is associated with one route table.\n\n**Internet Gateway (IGW):** Enables communication between VPC resources and the internet (for public subnets).\n\n**NAT Gateway:** Allows private subnet instances to access the internet (for updates, patches) without accepting inbound connections. Deployed in a public subnet.\n\n**Security Groups:** Stateful firewalls at the instance level. Allow rules only (no deny). Return traffic automatically allowed.\n\n**Network ACLs (NACLs):** Stateless firewalls at the subnet level. Support both allow and deny rules. Must explicitly allow return traffic.\n\n**VPC Peering:** Private connection between two VPCs. Non-transitive (A↔B and B↔C does NOT mean A↔C).\n\n**VPC Endpoints:** Private connections to AWS services without using the internet. Gateway endpoints (S3, DynamoDB) and Interface endpoints (most other services).",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Compute & Networking,,VPC Deep Dive,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  Internet[""Internet""] <--> IGW[""Internet Gateway""]\n  subgraph VPC[""VPC 10.0.0.0/16""]\n    subgraph PubSub[""Public Subnet 10.0.1.0/24""]\n      ALB2[""ALB""]\n      NAT[""NAT Gateway""]\n    end\n    subgraph PrivSub[""Private Subnet 10.0.2.0/24""]\n      App[""App Server""]\n      DB[""RDS Database""]\n    end\n  end\n  IGW <--> ALB2\n  IGW <--> NAT\n  NAT --> App\n  ALB2 --> App",
question,Compute & Networking,,VPC Deep Dive,,Put the steps for setting up a basic VPC with public and private subnets in the correct order:,ordering,"Create the VPC with a CIDR block (e.g., 10.0.0.0/16)",Create public and private subnets in different AZs,Create and attach an Internet Gateway to the VPC,Create a NAT Gateway in the public subnet for private subnet internet access,"Configure route tables: public subnet routes 0.0.0.0/0 to IGW, private subnet routes 0.0.0.0/0 to NAT Gateway",,,"VPC first (a), then subnets within it (b), then the internet gateway (c), then the NAT gateway in the public subnet (d), and finally route tables connecting everything (e).",3,VPC;networking,,,"a,b,c,d,e",,,,,,,,,,
question,Compute & Networking,,VPC Deep Dive,,What is the key difference between Security Groups and Network ACLs?,multiple_choice,Security Groups are stateless; NACLs are stateful,Security Groups are stateful; NACLs are stateless,Security Groups operate at the subnet level; NACLs at the instance level,There is no difference — they are interchangeable,,,b,Security Groups are **stateful** (return traffic automatically allowed) and operate at the instance level. NACLs are **stateless** (return traffic must be explicitly allowed) and operate at the subnet level. Security Groups only have allow rules; NACLs have both allow and deny.,2,VPC;Security Groups;NACLs,,,,,,,,,,,,,
structure,Compute & Networking,,Load Balancing & Route 53,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Compute & Networking,,Load Balancing & Route 53,"## Elastic Load Balancing (ELB)\n\nAWS provides three types of load balancers:\n\n**Application Load Balancer (ALB)** — Layer 7 (HTTP/HTTPS)\n- Path-based and host-based routing\n- WebSocket and HTTP/2 support\n- Can route to Lambda functions\n- Best for: web applications, microservices, containers\n\n**Network Load Balancer (NLB)** — Layer 4 (TCP/UDP/TLS)\n- Ultra-low latency (~100ms vs ~400ms for ALB)\n- Handles millions of requests per second\n- Static IP per AZ (or Elastic IP)\n- Best for: gaming, IoT, real-time streaming, TCP-based services\n\n**Gateway Load Balancer (GWLB)** — Layer 3 (IP)\n- For deploying third-party virtual appliances (firewalls, intrusion detection)\n- Transparent to the application\n\n## Amazon Route 53\n\nDNS web service with routing policies:\n- **Simple:** Single resource\n- **Weighted:** Distribute traffic by percentage\n- **Latency-based:** Route to lowest-latency region\n- **Failover:** Active-passive with health checks\n- **Geolocation:** Route based on user location\n- **Geoproximity:** Route based on geographic distance with bias\n- **Multivalue answer:** Return multiple healthy records",,,,,,,,,,,,,,,,,,,,,,,,,
question,Compute & Networking,,Load Balancing & Route 53,,Match each load balancer type to its best use case:,matching,,,,,,,,ALB operates at Layer 7 for HTTP traffic with advanced routing. NLB operates at Layer 4 for extreme performance with static IPs. GWLB transparently inserts network appliances into traffic flow.,2,ELB;load balancing,,,,ALB (Application Load Balancer)|NLB (Network Load Balancer)|Gateway Load Balancer,HTTP microservices with path-based routing|Ultra-low latency TCP/UDP workloads|Third-party firewall and intrusion detection appliances,,,,,,,,
question,Compute & Networking,,Load Balancing & Route 53,,A global application needs to route users to the AWS region that provides them with the lowest latency. Which Route 53 routing policy should be used?,multiple_choice,Simple routing,Weighted routing,Latency-based routing,Geolocation routing,,,c,"Latency-based routing measures the latency between the user and each AWS region and routes to the region with the lowest latency. This is different from Geolocation (which routes based on the user's physical location, not network performance).",2,Route 53;latency-based routing,,,,,,,,,,,,,
callout,Compute & Networking,,Load Balancing & Route 53,"- Need **path-based routing** (/api → service A, /images → service B)? → **ALB**\n- Need **static IP** or **Elastic IP** on the load balancer? → **NLB**\n- Need **ultra-low latency** or **millions of requests/sec**? → **NLB**\n- Need to route to **Lambda functions**? → **ALB** (NLB does not support Lambda targets)\n- Need **WebSocket** support? → **ALB**",,,,,,,,,,,,,,,,,,exam_note,ALB vs NLB Quick Decision,,,,,,
structure,Storage & Databases,"S3 storage classes, EBS/EFS block and file storage, RDS and Aurora relational databases, DynamoDB NoSQL, and caching with ElastiCache.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Storage & Databases,,S3 Storage Classes,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Storage & Databases,,S3 Storage Classes,"## Amazon S3 Storage Classes\n\nS3 offers multiple storage classes optimized for different access patterns and cost requirements:\n\n| Class | Access Pattern | Durability | Min Storage | Retrieval Fee |\n|-------|---------------|------------|-------------|---------------|\n| **S3 Standard** | Frequent access | 99.999999999% (11 9s) | None | None |\n| **S3 Standard-IA** | Infrequent (≥1/month) | 11 9s | 128 KB, 30 days | Per-GB fee |\n| **S3 One Zone-IA** | Infrequent, re-creatable | 11 9s (1 AZ) | 128 KB, 30 days | Per-GB fee |\n| **S3 Glacier Instant** | Quarterly access, instant retrieval | 11 9s | 128 KB, 90 days | Per-GB fee |\n| **S3 Glacier Flexible** | Yearly access, minutes-hours retrieval | 11 9s | 40 KB, 90 days | Per-GB + per-request |\n| **S3 Glacier Deep Archive** | Rarely accessed, 12-48h retrieval | 11 9s | 40 KB, 180 days | Lowest cost |\n| **S3 Intelligent-Tiering** | Unknown/changing patterns | 11 9s | None | Monitoring fee |\n\n**S3 Intelligent-Tiering** automatically moves objects between tiers based on access patterns — no retrieval fees. Ideal when you don't know the access pattern.\n\n**Lifecycle policies** automatically transition objects between classes based on age (e.g., move to Standard-IA after 30 days, Glacier after 90 days, delete after 365 days).",,,,,,,,,,,,,,,,,,,,,,,,,
question,Storage & Databases,,S3 Storage Classes,,Order these S3 storage classes from MOST EXPENSIVE to LEAST EXPENSIVE for storage costs:,ordering,S3 Standard,S3 Standard-IA,S3 Glacier Flexible Retrieval,S3 Glacier Deep Archive,,,,"Storage cost decreases as access frequency decreases: Standard (most frequent access, highest storage cost) → Standard-IA → Glacier Flexible → Deep Archive (least frequent, lowest storage cost). The trade-off is retrieval time and cost increase as storage cost decreases.",2,S3;storage classes,,,"a,b,c,d",,,,,,,,,,
question,Storage & Databases,,S3 Storage Classes,,Match each S3 storage class to its ideal use case:,matching,,,,,,,,"Standard for hot data, Intelligent-Tiering when patterns are unknown, Deep Archive for regulatory compliance data, and One Zone-IA for re-creatable data (like thumbnails or transcoded media) where multi-AZ durability isn't critical.",2,S3;storage classes,,,,S3 Standard|S3 Intelligent-Tiering|S3 Glacier Deep Archive|S3 One Zone-IA,Frequently accessed data like website assets and active content|Data with unknown or changing access patterns|Long-term compliance archives accessed once or twice a year|Infrequently accessed data that can be re-created if lost,,,,,,,,
question,Storage & Databases,,S3 Storage Classes,,"A company stores application logs in S3 Standard. Logs older than 30 days are rarely accessed, and logs older than 1 year must be deleted. What S3 feature should they use?",multiple_choice,S3 Versioning,S3 Lifecycle Policy,S3 Cross-Region Replication,S3 Object Lock,,,b,"S3 Lifecycle Policies automate transitions and expirations. Configure: transition to Standard-IA at 30 days, optionally to Glacier at 90 days, and expire (delete) at 365 days. Fully automated, no manual intervention needed.",2,S3;lifecycle policies,,,,,,,,,,,,,
callout,Storage & Databases,,S3 Storage Classes,"All S3 classes (except One Zone-IA) provide **11 9s durability** (99.999999999%) — virtually no data loss. **Availability** varies: Standard is 99.99%, Standard-IA is 99.9%. Durability is about data loss; availability is about access downtime. The exam tests this distinction.",,,,,,,,,,,,,,,,,,exam_note,S3 Durability vs Availability,,,,,,
structure,Storage & Databases,,"EBS, EFS, and FSx",,,,,,,,,,,,,,,,,,,,,,,,,,
