row_type,module_title,module_description,lesson_title,lesson_body,question_text,question_type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answers,explanation,difficulty,tags,acceptable_answers,match_mode,correct_order,matching_left,matching_right,callout_style,callout_title,embed_type,url,caption,alt,mermaid,video_url
content,Scales & Keys,,Key Signatures and Circle of Fifths,"## Key Signatures\n\nA **key signature** is a set of sharps or flats written at the beginning of each staff line. It tells you which notes are consistently raised or lowered throughout the piece.\n\n**Sharp keys (order of sharps: F C G D A E B):**\n\n| Key | Sharps | Which notes |\n|-----|--------|------------|\n| C Major | 0 | — |\n| G Major | 1 | F# |\n| D Major | 2 | F#, C# |\n| A Major | 3 | F#, C#, G# |\n| E Major | 4 | F#, C#, G#, D# |\n| B Major | 5 | F#, C#, G#, D#, A# |\n\n**Flat keys (order of flats: B E A D G C F):**\n\n| Key | Flats | Which notes |\n|-----|-------|------------|\n| F Major | 1 | Bb |\n| Bb Major | 2 | Bb, Eb |\n| Eb Major | 3 | Bb, Eb, Ab |\n| Ab Major | 4 | Bb, Eb, Ab, Db |\n\n## Circle of Fifths\n\nThe **Circle of Fifths** arranges all 12 keys in a circle where each adjacent key differs by one sharp or flat. Moving **clockwise** adds one sharp (C → G → D → A → E → B → F#/Gb). Moving **counterclockwise** adds one flat (C → F → Bb → Eb → Ab → Db → Gb/F#).\n\nThis is the musician's most useful reference tool. Nearby keys on the circle sound closely related; distant keys sound more foreign.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Scales & Keys,,Key Signatures and Circle of Fifths,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph TD\n  C[""C Major<br>0 ♯/♭""] --> G[""G Major<br>1♯""]\n  G --> D[""D Major<br>2♯""]\n  D --> A[""A Major<br>3♯""]\n  A --> E[""E Major<br>4♯""]\n  E --> B[""B Major<br>5♯""]\n  B --> GB[""F♯/G♭<br>6♯/6♭""]\n  C --> F[""F Major<br>1♭""]\n  F --> Bb[""B♭ Major<br>2♭""]\n  Bb --> Eb[""E♭ Major<br>3♭""]\n  Eb --> Ab[""A♭ Major<br>4♭""]\n  Ab --> Db[""D♭ Major<br>5♭""]\n  Db --> GB",
question,Scales & Keys,,Key Signatures and Circle of Fifths,,Match each key to its number of sharps or flats:,matching,,,,,,,,Each step clockwise on the Circle of Fifths adds one sharp. Each step counterclockwise adds one flat. G Major (one step clockwise from C) has 1 sharp. F Major (one step counterclockwise) has 1 flat.,2,key signatures;Circle of Fifths,,,,G Major|D Major|F Major|Bb Major,"1 sharp (F#)|2 sharps (F#, C#)|1 flat (Bb)|2 flats (Bb, Eb)",,,,,,,,
question,Scales & Keys,,Key Signatures and Circle of Fifths,,"On the Circle of Fifths, moving clockwise from C, the next key is:",multiple_choice,F Major,G Major,D Major,A Major,,,b,"Moving clockwise (adding sharps) goes up a perfect fifth: C → G → D → A → E → B. G Major is the first key clockwise from C, with one sharp (F#).",2,Circle of Fifths,,,,,,,,,,,,,
structure,Intervals & Chords,"The distances between notes (intervals), building triads and seventh chords, and understanding chord inversions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Intervals & Chords,,Intervals,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Intervals & Chords,,Intervals,"## Musical Intervals\n\nAn **interval** is the distance between two notes, measured in semitones (half steps). Intervals have two parts: a **number** (how many letter names apart) and a **quality** (the exact number of semitones).\n\n| Interval | Semitones | Example (from C) | Sound Quality |\n|----------|-----------|-------------------|---------------|\n| Unison (P1) | 0 | C to C | Same note |\n| Minor 2nd (m2) | 1 | C to Db | Tense, dissonant |\n| Major 2nd (M2) | 2 | C to D | Whole step |\n| Minor 3rd (m3) | 3 | C to Eb | Sad, dark |\n| Major 3rd (M3) | 4 | C to E | Happy, bright |\n| Perfect 4th (P4) | 5 | C to F | Open, stable |\n| Tritone (A4/d5) | 6 | C to F#/Gb | Unstable, tense |\n| Perfect 5th (P5) | 7 | C to G | Very stable, powerful |\n| Minor 6th (m6) | 8 | C to Ab | Bittersweet |\n| Major 6th (M6) | 9 | C to A | Warm, sweet |\n| Minor 7th (m7) | 10 | C to Bb | Bluesy, pulling |\n| Major 7th (M7) | 11 | C to B | Bright tension |\n| Octave (P8) | 12 | C to C | Same note, higher |\n\n**Quality rules:** Unisons, 4ths, 5ths, and octaves are **perfect** (P). 2nds, 3rds, 6ths, and 7ths are **major** (M) or **minor** (m). Any interval can be augmented (raised) or diminished (lowered).",,,,,,,,,,,,,,,,,,,,,,,,,
question,Intervals & Chords,,Intervals,,Match each interval to its semitone count:,matching,,,,,,,,The minor 3rd (3 semitones) gives chords a dark quality. The major 3rd (4 semitones) gives a bright quality. The perfect 5th (7 semitones) is the most consonant interval after unison and octave. The octave (12 semitones) encompasses all 12 chromatic tones.,2,intervals,,,,Minor 3rd|Perfect 5th|Major 3rd|Octave,3 semitones|7 semitones|4 semitones|12 semitones,,,,,,,,
question,Intervals & Chords,,Intervals,,Order these intervals from smallest to largest:,ordering,Perfect 5th (7 semitones),Minor 2nd (1 semitone),Major 3rd (4 semitones),Octave (12 semitones),,,,From smallest to largest: minor 2nd (1) → major 3rd (4) → perfect 5th (7) → octave (12). Each increasing interval spans more of the chromatic scale.,1,intervals,,,"b,c,a,d",,,,,,,,,,
question,Intervals & Chords,,Intervals,,The interval from C to E (4 semitones) is a:,multiple_choice,Minor 3rd,Major 3rd,Perfect 4th,Major 2nd,,,b,"C to E spans 4 semitones (C→C#→D→D#→E). 4 semitones = major 3rd. This is the interval that defines major chords and gives them their bright, happy character.",2,intervals,,,,,,,,,,,,,
structure,Intervals & Chords,,Triads,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Intervals & Chords,,Triads,"## Triads\n\nA **triad** is a three-note chord built by stacking two thirds. The four types:\n\n| Triad Type | Formula | Intervals | Example (on C) | Sound |\n|-----------|---------|-----------|----------------|-------|\n| **Major** | 1 - 3 - 5 | M3 + m3 | C - E - G | Bright, happy |\n| **Minor** | 1 - ♭3 - 5 | m3 + M3 | C - E♭ - G | Dark, sad |\n| **Diminished** | 1 - ♭3 - ♭5 | m3 + m3 | C - E♭ - G♭ | Tense, unstable |\n| **Augmented** | 1 - 3 - ♯5 | M3 + M3 | C - E - G# | Mysterious, eerie |\n\n**How to build a triad:**\n1. Start with the **root** (the note the chord is named after)\n2. Add the **third** (major 3rd = 4 semitones for major, minor 3rd = 3 semitones for minor)\n3. Add the **fifth** (perfect 5th = 7 semitones above root for major and minor)\n\n**Triads built on each degree of C Major:**\n\n| Degree | Chord | Type | Roman Numeral |\n|--------|-------|------|---------------|\n| I | C-E-G | Major | I |\n| ii | D-F-A | Minor | ii |\n| iii | E-G-B | Minor | iii |\n| IV | F-A-C | Major | IV |\n| V | G-B-D | Major | V |\n| vi | A-C-E | Minor | vi |\n| vii° | B-D-F | Diminished | vii° |\n\nUppercase Roman numerals = major, lowercase = minor.",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Intervals & Chords,,Triads,"The difference between a major and minor chord is just **one semitone** — the third. C major has E natural (major 3rd, 4 semitones above C). C minor has E♭ (minor 3rd, 3 semitones above C). The fifth (G) is the same in both. That single semitone difference creates the entire emotional shift from bright to dark.",,,,,,,,,,,,,,,,,,key_concept,Major vs Minor: The Third Decides,,,,,,
question,Intervals & Chords,,Triads,,Match each triad type to its interval formula:,matching,,,,,,,,"Major triads stack M3 then m3. Minor triads reverse this: m3 then M3. Diminished uses two minor thirds (smaller, more tense). Augmented uses two major thirds (wider, creating a raised fifth).",2,triads;chord construction,,,,Major triad|Minor triad|Diminished triad|Augmented triad,Major 3rd + minor 3rd (4 + 3 semitones)|minor 3rd + Major 3rd (3 + 4 semitones)|minor 3rd + minor 3rd (3 + 3 semitones)|Major 3rd + Major 3rd (4 + 4 semitones),,,,,,,,
question,Intervals & Chords,,Triads,,"In the key of C Major, the chord built on the 5th degree (G-B-D) is a ___ triad.",fill_blank,,,,,,,,"G-B-D: the interval G to B is a major 3rd (4 semitones), and B to D is a minor 3rd (3 semitones). Major 3rd + minor 3rd = major triad. In any major key, the V chord is always major.",2,triads;diatonic chords,major|Major|G major,contains,,,,,,,,,,,
question,Intervals & Chords,,Triads,,Which note is different between a C major triad (C-E-G) and a C minor triad?,multiple_choice,The root (C),The third (E becomes Eb),The fifth (G becomes Gb),All three notes change,,,b,C major = C-E-G. C minor = C-Eb-G. Only the third changes — E is lowered by one semitone to Eb. The root and fifth stay the same. This single semitone change transforms the chord's emotional character.,1,triads;major vs minor,,,,,,,,,,,,,
structure,Intervals & Chords,,Seventh Chords and Inversions,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Intervals & Chords,,Seventh Chords and Inversions,"## Seventh Chords\n\nA **seventh chord** adds a fourth note — a seventh above the root — to a triad. This creates richer, more complex harmony.\n\n| Seventh Chord | Symbol | Formula | Example (on C) |\n|--------------|--------|---------|----------------|\n| Major 7th | Cmaj7 | 1 - 3 - 5 - 7 | C - E - G - B |\n| Dominant 7th | C7 | 1 - 3 - 5 - ♭7 | C - E - G - B♭ |\n| Minor 7th | Cm7 | 1 - ♭3 - 5 - ♭7 | C - E♭ - G - B♭ |\n| Half-diminished 7th | Cø7 | 1 - ♭3 - ♭5 - ♭7 | C - E♭ - G♭ - B♭ |\n| Diminished 7th | C°7 | 1 - ♭3 - ♭5 - ♭♭7 | C - E♭ - G♭ - B♭♭(A) |\n\nThe **dominant 7th** (V7) is the most important — its tension demands resolution to the tonic.\n\n## Inversions\n\nA chord is **inverted** when a note other than the root is in the bass (lowest position):\n\n**Triads:**\n- **Root position:** Root in bass (C-E-G)\n- **1st inversion:** Third in bass (E-G-C)\n- **2nd inversion:** Fifth in bass (G-C-E)\n\n**Seventh chords** have an additional:\n- **3rd inversion:** Seventh in bass (B♭-C-E-G for C7)\n\nInversions don't change the chord's identity — C-E-G, E-G-C, and G-C-E are all forms of C major. But inversions create smoother voice leading and different bass line movements.",,,,,,,,,,,,,,,,,,,,,,,,,
callout,Intervals & Chords,,Seventh Chords and Inversions,"Classical music uses numbers to indicate inversions:\n- Root position triad: **5/3** (usually just the chord name)\n- 1st inversion triad: **6/3** (or just **6**)\n- 2nd inversion triad: **6/4**\n\nFor seventh chords: root = **7**, 1st inv = **6/5**, 2nd inv = **4/3**, 3rd inv = **4/2** (or just **2**).",,,,,,,,,,,,,,,,,,tip,Figured Bass Shorthand,,,,,,
question,Intervals & Chords,,Seventh Chords and Inversions,,A dominant 7th chord built on G (G7) contains the notes G-B-D and which seventh?,multiple_choice,F# (major 7th above G),F (minor 7th above G),E (major 6th above G),F♭ (diminished 7th above G),,,b,A dominant 7th chord uses a **minor 7th** (♭7) above the root. G to F is 10 semitones = minor 7th. So G7 = G-B-D-F. This chord has enormous tension that wants to resolve to C major.,3,seventh chords;dominant 7th,,,,,,,,,,,,,
question,Intervals & Chords,,Seventh Chords and Inversions,,Match each chord inversion to its description:,matching,,,,,,,,Inversions are defined by which chord tone is in the bass. Root position has the root as the lowest note (most stable). First inversion puts the third in the bass (smooth connecting). Second inversion puts the fifth in the bass (least stable of the three).,2,inversions,,,,Root position|First inversion|Second inversion,The root note is in the bass (lowest voice)|The third of the chord is in the bass|The fifth of the chord is in the bass,,,,,,,,
structure,Harmony & Progressions,"How chords function in keys: tonic, subdominant, and dominant roles, common progressions, and cadences that create musical punctuation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
structure,Harmony & Progressions,,Chord Functions,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Harmony & Progressions,,Chord Functions,"## Harmonic Function\n\nIn tonal music, chords don't exist in isolation — they serve **functions** that create tension and resolution. The three primary functions:\n\n### Tonic Function (home, stability)\n- **I** (tonic chord) — the ""home"" chord, feels resolved\n- **vi** — shares two notes with I, can substitute for tonic\n- **iii** — weakest tonic substitute\n\n### Subdominant Function (movement away from home)\n- **IV** (subdominant chord) — moves away from tonic, creates mild tension\n- **ii** — shares two notes with IV, common substitute (ii is used more than IV in classical music)\n\n### Dominant Function (tension seeking resolution)\n- **V** (dominant chord) — maximum tension, strongly pulls back to I\n- **vii°** — shares two notes with V, also pulls to I\n- **V7** — adding the 7th increases the urgency to resolve\n\n**The fundamental harmonic journey:**\n\n**Tonic → Subdominant → Dominant → Tonic**\n\nOr in Roman numerals: **I → IV → V → I**\n\nThis T-S-D-T pattern underlies virtually all Western tonal music, from Bach chorales to pop songs.",,,,,,,,,,,,,,,,,,,,,,,,,
embed,Harmony & Progressions,,Chord Functions,,,,,,,,,,,,,,,,,,,,,diagram,,,,"graph LR\n  T[""TONIC<br>I, vi, iii<br>Home/Stability""] -->|""moves away""| S[""SUBDOMINANT<br>IV, ii<br>Departure""]\n  S -->|""builds tension""| D[""DOMINANT<br>V, V7, vii°<br>Tension""]\n  D -->|""resolves""| T\n  T -->|""can skip to""| D",
question,Harmony & Progressions,,Chord Functions,,Match each chord to its harmonic function in a major key:,matching,,,,,,,,I is the tonal center. IV moves away from home. V creates maximum tension. ii often substitutes for IV (the ii-V-I progression is fundamental in jazz and classical music).,2,harmonic function,,,,I chord|IV chord|V chord|ii chord,Tonic — home and resolution|Subdominant — departure from home|Dominant — tension seeking resolution|Subdominant substitute (pre-dominant),,,,,,,,
question,Harmony & Progressions,,Chord Functions,,"In the key of C Major, the dominant chord (V) is:",multiple_choice,C Major,F Major,G Major,A minor,,,c,"The dominant is built on the 5th degree. In C Major, the 5th degree is G. The chord built on G using C Major's notes is G-B-D = G Major. The V-I progression (G Major → C Major) is the strongest resolution in music.",1,dominant;harmonic function,,,,,,,,,,,,,
structure,Harmony & Progressions,,Common Progressions,,,,,,,,,,,,,,,,,,,,,,,,,,
content,Harmony & Progressions,,Common Progressions,"## Common Chord Progressions\n\nCertain chord sequences appear in thousands of songs because they naturally follow the T-S-D-T harmonic logic.\n\n### The Most Common Progressions\n\n**I - IV - V - I** (the foundational progression)\nIn C: C → F → G → C\nUsed in: ""Twist and Shout,"" ""La Bamba,"" countless folk songs\n\n**I - V - vi - IV** (the ""pop progression"")\nIn C: C → G → Am → F\nUsed in: ""Let It Be,"" ""No Woman No Cry,"" ""With or Without You""\n\n**I - vi - IV - V** (the ""50s progression"" or ""doo-wop"")\nIn C: C → Am → F → G\nUsed in: ""Stand By Me,"" ""Every Breath You Take""\n\n**ii - V - I** (the jazz turnaround)\nIn C: Dm7 → G7 → Cmaj7\nThe backbone of jazz harmony. The ii provides smooth voice leading into V.\n\n**I - IV - vi - V** (another pop variant)\n**vi - IV - I - V** (the ""sensitive"" progression — starting on vi gives a minor feel)\n\n### Roman Numeral Analysis\nUsing Roman numerals lets us describe progressions **independent of key**. I-IV-V-I is the same pattern whether played in C (C-F-G-C), G (G-C-D-G), or any key.",,,,,,,,,,,,,,,,,,,,,,,,,
question,Harmony & Progressions,,Common Progressions,,Put the chords of the I-IV-V-I progression in C Major in the correct order:,ordering,G Major (V),C Major (I) — opening,F Major (IV),C Major (I) — resolution,,,,"The I-IV-V-I progression in C: start at home (C), move to subdominant (F), build tension with dominant (G), resolve back home (C). This progression follows the T→S→D→T harmonic journey.",1,chord progressions;I-IV-V-I,,,"b,c,a,d",,,,,,,,,,
